Feature,Importance
shipping_distance_km,0.21261590323912666
account_age_days,0.18138869520960962
avs_match,0.14478257123912455
amount,0.12735706541534672
cvv_result,0.07070418459638264
three_ds_flag,0.05837048119700675
channel_web,0.04198881326113957
avg_amount_user,0.03161430730568235
day,0.020614832744943475
total_transactions_user,0.01960919180890108
hour,0.01918280058097084
day_of_week,0.012531150136011011
promo_used,0.01014890020340285
merchant_category_gaming,0.003249514765707429
merchant_category_fashion,0.003094926733838097
merchant_category_travel,0.003070352980926195
merchant_category_grocery,0.003010868873169131
bin_country_TR,0.0026599728837096424
bin_country_RO,0.002322046473813349
country_TR,0.0022862408641934027
bin_country_NL,0.0021416617387196913
country_ES,0.002112687896646501
country_NL,0.002066790663008341
bin_country_GB,0.0020440400226067012
bin_country_ES,0.0019962567972657904
bin_country_FR,0.0019701096314696034
country_US,0.001958178297686611
country_GB,0.0019225026959526891
country_RO,0.0019200761587763124
bin_country_IT,0.0018995767083769355
country_IT,0.0018973596933266007
country_PL,0.0018973421628098429
bin_country_PL,0.0018907220964291093
bin_country_US,0.0018853697355893186
country_FR,0.001794505188330615
